Wed Dec 28 12:54:35 2022    profile-test-chunk-mgr

         3288700 function calls (3279561 primitive calls) in 2.426 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.000    0.000    0.006    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunk_manager.py:47(update)
      6/5    0.000    0.000    0.006    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4956(parseImpl)
        1    0.000    0.000    0.006    0.006 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/shutil.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:3949(parseImpl)
        2    0.000    0.000    0.006    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:878(try_parse)
       56    0.000    0.000    0.006    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/chunk_manager.py:50(render)
      228    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
   119028    0.005    0.000    0.005    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/../graphics/graphics_library.py:63(render)
        1    0.000    0.000    0.005    0.005 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/specifiers.py:299(Specifier)
        2    0.005    0.003    0.005    0.003 {built-in method _posixsubprocess.fork_exec}
      190    0.000    0.000    0.005    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2597(from_location)
      151    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    10957    0.002    0.000    0.005    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:255(get)
        1    0.000    0.000    0.004    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/sysfont.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/common.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/helpers.py:1(<module>)
        6    0.001    0.000    0.004    0.001 /Users/sk/Documents/minecraft-from-wish/playground/../graphics/pygame_backend.py:106(create_layer)
        1    0.000    0.000    0.004    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/common.py:8(pyparsing_common)
        1    0.000    0.000    0.004    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/subprocess.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/email/utils.py:1(<module>)
      166    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
    24839    0.002    0.000    0.004    0.000 {built-in method builtins.isinstance}
     2268    0.003    0.000    0.004    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/tasks.py:720(_done_callback)
      206    0.000    0.000    0.004    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2085(<genexpr>)
     4608    0.001    0.000    0.004    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/basic_units.py:91(__init__)
        4    0.000    0.000    0.004    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/toml/decoder.py:113(load)
        1    0.000    0.000    0.004    0.004 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/logging/__init__.py:1(<module>)
  319/297    0.000    0.000    0.004    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/typing.py:306(inner)
        4    0.000    0.000    0.003    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/toml/decoder.py:26(_ispath)
        4    0.000    0.000    0.003    0.001 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/toml/decoder.py:18(_detect_pathlib_path)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/socket.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/jaraco/text/__init__.py:1(<module>)
      190    0.000    0.000    0.003    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2584(__init__)
       92    0.003    0.000    0.003    0.000 {method 'fill' of 'pygame.Surface' objects}
      151    0.003    0.000    0.003    0.000 {built-in method io.open_code}
    12168    0.003    0.000    0.003    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_parse.py:234(__next)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/packaging/version.py:1(<module>)
       13    0.000    0.000    0.003    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:536(_convert_)
     1250    0.001    0.000    0.003    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:2100(dist_factory)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/pathlib.py:1(<module>)
     4679    0.002    0.000    0.003    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/events.py:31(__init__)
     8605    0.002    0.000    0.003    0.000 /Users/sk/Documents/minecraft-from-wish/playground/../game-logic/physics.py:13(passes_origin)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/random.py:1(<module>)
       12    0.003    0.000    0.003    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
        6    0.003    0.000    0.003    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      264    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      287    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 test-chunk-mgr.py:209(Player)
      202    0.000    0.000    0.003    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:1336(safe_version)
     2530    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/bz2.py:1(<module>)
      284    0.002    0.000    0.003    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:969(Environment)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:174(get_supported_platform)
      208    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pygame/threads/__init__.py:1(<module>)
      597    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.000    0.000    0.003    0.003 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/base64.py:1(<module>)
      179    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:359(__call__)
     45/6    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:3816(streamline)
     89/5    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:3675(streamline)
        1    0.000    0.000    0.002    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/datetime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/queue.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/asyncio/events.py:1(<module>)
     1857    0.002    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/posixpath.py:71(join)
        1    0.000    0.000    0.002    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/platform.py:1(<module>)
       11    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:5392(__init__)
        1    0.000    0.000    0.002    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/plistlib.py:1(<module>)
       14    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:483(_create_)
      540    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/genericpath.py:39(isdir)
       22    0.001    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/enum.py:180(__new__)
     32/9    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:4379(leave_whitespace)
      444    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:499(copy)
  652/241    0.000    0.000    0.002    0.000 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/_vendor/pyparsing/core.py:1857(name)
        1    0.000    0.000    0.002    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/site-packages/pkg_resources/__init__.py:384(get_build_platform)
        1    0.000    0.000    0.002    0.002 /Users/sk/opt/anaconda3/envs/mc/lib/python3.10/sysconfig.py:671(get_platform)
